epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,7856.86,0.89967,0.69158,1.14804,0.80976,0.77173,0.80279,0.47273,1.57191,0.95734,1.48773,0.003664,0.003664,0.003664
98,7943.43,0.90603,0.69668,1.15443,0.82449,0.76675,0.80477,0.47147,1.57851,0.96237,1.49947,0.003598,0.003598,0.003598
99,8029.93,0.89941,0.68567,1.1509,0.83024,0.76247,0.79973,0.47066,1.58998,0.96628,1.50872,0.003532,0.003532,0.003532
100,8116.4,0.89459,0.68271,1.14446,0.8228,0.75595,0.80603,0.46981,1.58398,0.96941,1.499,0.003466,0.003466,0.003466
101,8202.85,0.88991,0.67416,1.14045,0.83581,0.7703,0.80652,0.47381,1.57759,0.97014,1.49306,0.0034,0.0034,0.0034
102,8289.31,0.8832,0.6647,1.13815,0.84126,0.77898,0.81078,0.47027,1.5785,0.96166,1.49424,0.003334,0.003334,0.003334
103,8375.83,0.88618,0.66383,1.14223,0.84438,0.77683,0.80956,0.47236,1.58601,0.96524,1.50017,0.003268,0.003268,0.003268
104,8456.48,0.88555,0.66908,1.13348,0.85236,0.74085,0.80391,0.47065,1.58964,0.96495,1.50198,0.003202,0.003202,0.003202
105,8526.62,0.87835,0.66633,1.13856,0.84284,0.74398,0.80121,0.469,1.5921,0.95786,1.50356,0.003136,0.003136,0.003136
106,8608.66,0.87814,0.65787,1.13309,0.84613,0.76698,0.80197,0.46842,1.58923,0.95101,1.5051,0.00307,0.00307,0.00307
107,8695.62,0.8687,0.6566,1.1295,0.83719,0.7582,0.79947,0.46905,1.58636,0.95085,1.50248,0.003004,0.003004,0.003004
108,8782.86,0.8696,0.65963,1.12854,0.84246,0.7588,0.80364,0.47039,1.58572,0.94884,1.50309,0.002938,0.002938,0.002938
109,8869.61,0.8688,0.64504,1.12938,0.84207,0.75347,0.79885,0.46977,1.58469,0.93976,1.50075,0.002872,0.002872,0.002872
110,8956.5,0.87845,0.65948,1.13246,0.85188,0.74492,0.80313,0.46886,1.58309,0.93514,1.49978,0.002806,0.002806,0.002806
111,9043.74,0.86342,0.64164,1.1259,0.85497,0.75144,0.80446,0.47382,1.58168,0.93377,1.49677,0.00274,0.00274,0.00274
112,9130.09,0.8669,0.63659,1.1204,0.85137,0.7537,0.80452,0.47619,1.58057,0.93282,1.49645,0.002674,0.002674,0.002674
113,9217.29,0.85559,0.63673,1.1208,0.84626,0.75081,0.8046,0.47807,1.58168,0.93095,1.49892,0.002608,0.002608,0.002608
114,9304.47,0.85598,0.63527,1.11704,0.84285,0.75724,0.80874,0.4808,1.58129,0.93248,1.49854,0.002542,0.002542,0.002542
115,9391.82,0.85722,0.63108,1.12274,0.84277,0.7514,0.80821,0.47945,1.58197,0.92837,1.49992,0.002476,0.002476,0.002476
116,9479.16,0.8473,0.62739,1.11509,0.85674,0.74694,0.80745,0.48082,1.58035,0.92194,1.49725,0.00241,0.00241,0.00241
117,9566.21,0.85625,0.63033,1.11602,0.8568,0.74267,0.81408,0.48282,1.58073,0.91207,1.5008,0.002344,0.002344,0.002344
118,9653.53,0.85558,0.63288,1.11997,0.82212,0.76781,0.81454,0.48332,1.58098,0.90694,1.50016,0.002278,0.002278,0.002278
119,9740.8,0.84934,0.62921,1.11712,0.8373,0.7757,0.81963,0.48365,1.57838,0.90472,1.49679,0.002212,0.002212,0.002212
120,9828.4,0.83985,0.61869,1.10909,0.83664,0.77938,0.81851,0.48379,1.57856,0.90116,1.49672,0.002146,0.002146,0.002146
121,9915.8,0.8464,0.62164,1.11376,0.8327,0.77924,0.81928,0.48506,1.57647,0.90095,1.49754,0.00208,0.00208,0.00208
122,10002.9,0.84305,0.62094,1.11009,0.83374,0.77801,0.82136,0.48565,1.57589,0.89755,1.49913,0.002014,0.002014,0.002014
123,10090.5,0.84157,0.61687,1.1067,0.83684,0.78049,0.82312,0.48432,1.57439,0.89871,1.50174,0.001948,0.001948,0.001948
